,Epoch,TrainAcc,TrainLoss,ValAcc,ValLoss
0,0,0.5622895728759091,0.6883600203677861,0.7601918469515921,0.6462764132508843
1,1,0.824915835351655,0.5966837993173888,0.8039215655595648,0.5340851388287311
2,2,0.8129251793939241,0.480173405335874,0.8249400398142333,0.49721226882305647
3,3,0.88552189294738,0.34657878752308663,0.8897058784085161,0.3304402982706533
4,4,0.8956229024463229,0.2867964387241036,0.9112709879303436,0.28626896701842475
5,5,0.9217687121459416,0.21858218943282048,0.9068627421762429,0.27814337253278376
6,6,0.9225589271747705,0.21916408987358363,0.8920863302205678,0.3179593461094429
7,7,0.9326599366737135,0.1816846983450832,0.9264705918875396,0.2578094802869886
8,8,0.9421768741948264,0.16304523281144853,0.9232613944607101,0.210543792239196
9,9,0.9629629657726095,0.13029241956996196,0.9142156905111145,0.16796407822117793
10,10,0.9663299689389239,0.11789607467374416,0.9472422070926327,0.14387698181205802
11,11,0.9761904751767918,0.11704413030220538,0.9632352958707249,0.12776510459462218
12,12,0.9629629651705424,0.1121746242949457,0.9256594678480848,0.14629799138298996
13,13,0.9764309784378669,0.07950763686588316,0.9632352982081619,0.10583504250127018
14,14,0.9693877575348835,0.09915994208458127,0.9640287809806476,0.10066538987060387
15,15,0.9831649841684283,0.07599741497048826,0.9632352987925211,0.10264047029355139
16,16,0.989898990501057,0.061661917678635526,0.961630698302381,0.07167775448349169
17,17,0.9965986396585192,0.04451014784791944,0.9656862774316002,0.06559784487163757
18,18,0.989898990501057,0.05746043000295006,0.980815348865317,0.07832065791034584
19,19,0.9966329968336857,0.030726799167542146,0.9828431390079797,0.05481164456418186
20,20,0.9897959189755576,0.0562480868372534,0.9808153477218226,0.06722512782709919
21,21,0.9831649841684283,0.05210695644332604,0.982843139592339,0.047669000823196826
22,22,0.9865319873347427,0.06190599062752844,0.9808153494370642,0.05197390914409995
23,23,0.9965986396585192,0.032154970878393065,0.982843139592339,0.06657646638318422
24,24,0.9966329968336857,0.03105180897289003,0.9808153494370642,0.04882998945865986
